date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:55	31398/31398	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:31:58%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/video-block-bg.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/video-block-bg.jpg	(from https://themebubble.com/demo/webify/creative/)
12:14:56	550/550	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:32:18%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/signature.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/signature.png	(from https://themebubble.com/demo/webify/creative/)
12:14:58	110371/110371	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:32:09%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/testimonial1.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/testimonial1.png	(from https://themebubble.com/demo/webify/creative/)
12:14:58	84774/84774	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:27:38%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/Testi.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/Testi.png	(from https://themebubble.com/demo/webify/creative/)
12:15:00	130645/130645	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:34:08%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/willian-justen-de-vasconcellos-550613-unsplash-1-1.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/willian-justen-de-vasconcellos-550613-unsplash-1-1.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:00	49240/49240	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:41%20GMT	https://themebubble.com/demo/webify/creative/portfolio/adios-concept-design/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/adios-concept-design/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:01	49735/49735	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:42%20GMT	https://themebubble.com/demo/webify/creative/portfolio/sony-camera-website/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/sony-camera-website/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:01	15120/15120	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:29:19%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/g83y6do219w.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/g83y6do219w.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:02	64850/64850	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:29:28%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/w6onivdcfn0.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/w6onivdcfn0.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:04	225071/225071	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:29:39%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/wbfvgbpdxfa.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/wbfvgbpdxfa.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:04	49607/49607	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:43%20GMT	https://themebubble.com/demo/webify/creative/portfolio/save-the-world/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/save-the-world/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:05	49714/49714	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:45%20GMT	https://themebubble.com/demo/webify/creative/portfolio/planet-fitness/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/planet-fitness/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:05	49682/49682	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:44%20GMT	https://themebubble.com/demo/webify/creative/portfolio/marketing-for-jrink/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/marketing-for-jrink/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:05	25867/25867	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:27:58%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/aiony-haust-783975-unsplash-1.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/aiony-haust-783975-unsplash-1.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:05	48987/48987	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:29:09%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/p3fh6ya5evi.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/p3fh6ya5evi.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:45:06%20GMT	http://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/qbbei2rpb7a.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/qbbei2rpb7a.2b.delayed	(from https://themebubble.com/demo/webify/creative/)
12:15:07	49078/49078	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:46%20GMT	https://themebubble.com/demo/webify/creative/portfolio/identity-design-for-fliplr/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/portfolio/identity-design-for-fliplr/index.html	(from https://themebubble.com/demo/webify/creative/)
12:15:07	65002/65002	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:28:49%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/qbbei2rpb7a.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/qbbei2rpb7a.jpg	(from https://themebubble.com/demo/webify/creative/)
12:15:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:45:08%20GMT	http://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/jmz6qjvjjvk.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/jmz6qjvjjvk.2d.delayed	(from https://themebubble.com/demo/webify/creative/)
12:15:09	48654/48654	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:28:59%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/jmz6qjvjjvk.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/jmz6qjvjjvk.jpg	(from https://themebubble.com/demo/webify/creative/)
